Layer,IOType,Strategy,Inputs,Outputs,ReuseFactor,Precision,AreaHLS,LatencyHLS,IIHLS,AreaSYN
dense,io_parallel,Latency,32,32,2,"ac_fixed<16,6,true>",336938.7,4,7,323663.480
dense,io_parallel,Latency,32,32,3,"ac_fixed<16,6,true>",304829.3,12,15,341739.510
dense,io_parallel,Latency,32,32,4,"ac_fixed<16,6,true>",222060.9,16,19,254052.876
dense,io_parallel,Latency,32,32,5,"ac_fixed<16,6,true>",250385.3,30,33,278276.964
dense,io_parallel,Latency,32,32,6,"ac_fixed<16,6,true>",231733.9,41,44,251256.950
dense,io_parallel,Latency,32,32,7,"ac_fixed<16,6,true>",206076.3,56,59,240531.830
dense,io_parallel,Latency,32,32,8,"ac_fixed<16,6,true>",200782.5,64,67,235942.532
dense,io_parallel,Latency,32,32,9,"ac_fixed<16,6,true>",214898.2,96,101,231458.038
dense,io_parallel,Latency,32,32,10,"ac_fixed<16,6,true>",214817.3,106,112,230202.252
dense,io_parallel,Latency,32,32,11,"ac_fixed<16,6,true>",175583.4,172,178,208431.748
dense,io_parallel,Latency,32,32,12,"ac_fixed<16,6,true>",206046.9,192,195,243854.702
dense,io_parallel,Latency,32,32,13,"ac_fixed<16,6,true>",200454.9,208,211,237098.568
dense,io_parallel,Latency,32,32,14,"ac_fixed<16,6,true>",163124.5,223,226,196196.280
dense,io_parallel,Latency,32,32,15,"ac_fixed<16,6,true>",206471.4,240,243,246809.164
dense,io_parallel,Latency,32,32,16,"ac_fixed<16,6,true>",164414.2,255,258,201749.828
dense,io_parallel,Latency,32,32,17,"ac_fixed<16,6,true>",188728.5,532,546,223396.908
dense,io_parallel,Latency,32,32,18,"ac_fixed<16,6,true>",188731.7,563,578,223188.364
dense,io_parallel,Latency,32,32,19,"ac_fixed<16,6,true>",188736.7,594,610,224093.030
dense,io_parallel,Latency,32,32,20,"ac_fixed<16,6,true>",188742.7,625,642,223202.462
dense,io_parallel,Latency,32,32,21,"ac_fixed<16,6,true>",188749.5,656,674,223123.194
dense,io_parallel,Latency,32,32,22,"ac_fixed<16,6,true>",188751.1,687,706,223707.330
dense,io_parallel,Latency,32,32,23,"ac_fixed<16,6,true>",188759.3,718,738,223151.656
dense,io_parallel,Latency,32,32,24,"ac_fixed<16,6,true>",188751.3,749,770,223437.606
dense,io_parallel,Latency,32,32,25,"ac_fixed<16,6,true>",188761.0,780,802,224139.580
dense,io_parallel,Latency,32,32,26,"ac_fixed<16,6,true>",188770.7,811,834,223120.800
dense,io_parallel,Latency,32,32,27,"ac_fixed<16,6,true>",188767.3,842,866,223441.330
dense,io_parallel,Latency,32,32,28,"ac_fixed<16,6,true>",188775.5,873,898,223191.556
dense,io_parallel,Latency,32,32,29,"ac_fixed<16,6,true>",188783.8,904,930,223441.596
dense,io_parallel,Latency,32,32,30,"ac_fixed<16,6,true>",188786.9,935,962,223090.742
dense,io_parallel,Latency,32,32,31,"ac_fixed<16,6,true>",188789.4,966,994,223425.636
dense,io_parallel,Latency,32,32,32,"ac_fixed<16,6,true>",188796.8,997,1026,223906.830
dense,io_parallel,Resource,32,32,1,"ac_fixed<16,6,true>",176997.2,129,131,156473.968
dense,io_stream,Latency,4,4,1,"ac_fixed<16,6,true>",20295.6,1,1,0
dense,io_stream,Latency,4,4,2,"ac_fixed<16,6,true>",12356.3,2,2,0
dense,io_stream,Latency,4,4,3,"ac_fixed<16,6,true>",8498.1,4,4,0
dense,io_stream,Latency,4,4,4,"ac_fixed<16,6,true>",8498.1,4,4,0
dense,io_stream,Resource,4,4,1,"ac_fixed<16,6,true>",20295.6,1,1,0
dense,io_stream,Resource,4,4,2,"ac_fixed<16,6,true>",11653.9,2,2,0
dense,io_stream,Resource,4,4,3,"ac_fixed<16,6,true>",11653.9,2,2,0
dense,io_stream,Resource,4,4,4,"ac_fixed<16,6,true>",6793.7,4,4,0
dense,io_stream,Latency,8,8,1,"ac_fixed<16,6,true>",79611.5,1,1,17314.206
dense,io_stream,Latency,8,8,2,"ac_fixed<16,6,true>",46896.0,2,2,22322.454
dense,io_stream,Latency,8,8,3,"ac_fixed<16,6,true>",31220.1,4,4,22810.032
dense,io_stream,Latency,8,8,4,"ac_fixed<16,6,true>",31220.1,4,4,22810.032
dense,io_stream,Latency,8,8,5,"ac_fixed<16,6,true>",23005.4,8,8,20039.110
dense,io_stream,Latency,8,8,6,"ac_fixed<16,6,true>",23005.4,8,8,20039.110
dense,io_stream,Latency,8,8,7,"ac_fixed<16,6,true>",23005.4,8,8,20039.110
